supplier-id,kem-id,sticker,quantity,description
01S0027J11-21,IN01S0027J11-21,01S0027J11-21_2512_0.2R_1%.btw,5000,RES SMD(METAL FILM) TGL2512 0.2R 2W 1% -55~170°C
01S1001K11-00,IN01S1001K11-00,01S1001K11-00_0402_1K_1%.btw,10000,RES SMD 0402 1K 1/16W 1% -55~155°C
01S1002K11-00,IN01S1002K11-00,01S1002K11-00_0402_10K_1%.btw,10000,RES SMD 0402 10K 1/16W 1% -55~155°C
01S1003K11-00,IN01S1003K11-00,01S1003K11-00_0402_100K_1%.btw,10000,RES SMD 0402 100K 1/16W 1% -55~155°C
01S1202K11-00,IN01S1202K11-00,01S1202K11-00_0402_12K_1%.btw,10000,RES SMD 0402 12K 1/16W 1% -55~155°C
01S1302K11-00,IN01S1302K11-00,01S1302K11-00_0402_13K_1%.btw,10000,RES SMD 0402 13K 1/16W 1% -55~155°C
01S1501K11-00,IN01S1501K11-00,01S1501K11-00_0402_1K5_1%.btw,10000,RES SMD 0402 1.5K 1/16W 1% -55~155°C
01S1502K11-00,IN01S1502K11-00,01S1502K11-00_0402_15K_1%.btw,10000,RES SMD 0402 15K 1/16W 1% -55~155°C
01S1801K11-00,IN01S1801K11-00,01S1801K11-00_0402_1K8_1%.btw,10000,RES SMD 0402 1.8K 1/16W 1% -55~155°C
01S1802K11-00,IN01S1802K11-00,01S1802K11-00_0402_18K_1%.btw,10000,RES SMD 0402 18K 1/16W 1% -55~155°C
01S2000K11-00,IN01S2000K11-00,01S2000K11-00_0402_200R_1%.btw,10000,RES SMD 0402 200R 1/16W 1% -55~155°C
01S2001K11-00,IN01S2001K11-00,01S2001K11-00_0402_2K_1%.btw,10000,RES SMD 0402 2K 1/16W 1% -55~155°C
01S2002K11-00,IN01S2002K11-00,01S2002K11-00_0402_20K_1%.btw,10000,RES SMD 0402 20K 1/16W 1% -55~155°C
01S2701K11-00,IN01S2701K11-00,01S2701K11-00_0402_2K7_1%.btw,10000,SMD RES 0402 2.7K 1/16W 1% -55~155?
01S3000K11-00,IN01S3000K11-00,01S3000K11-00_0402_300R_1%.btw,10000,RES SMD 0402 300R 1/16W 1% -55~155°C
01S3001K11-00,IN01S3001K11-00,01S3001K11-00_0402_3K_1%.btw,10000,RES SMD 0402 3K 1/16W 1% -55~155°C
01S3002K11-00,IN01S3002K11-00,01S3002K11-00_0402_30K_1%.btw,10000,RES SMD 0402 30K 1/16W 1% -55~155°C
01S3301K11-00,IN01S3301K11-00,01S3301K11-00_0402_3K3_1%.btw,10000,RES SMD 0402 3.3K 1/16W 1% -55~155°C
01S3901K11-00,IN01S3901K11-00,01S3901K11-00_0402_3K9_1%.btw,10000,RES SMD 0402 3.9K 1/16W 1% -55~155°C
01S3902K11-00,IN01S3902K11-00,01S3902K11-00_0402_39K_1%.btw,10000,RES SMD 0402 39K 1/16W 1% -55~155°C
01S4702K11-00,IN01S4702K11-00,01S4702K11-00_0402_47K_1%.btw,10000,RES SMD 0402 47K 1/16W 1% -55~155°C
01S5100K11-00,IN01S5100K11-00,01S5100K11-00_0402_510R_1%.btw,10000,RES SMD 0402 510R 1/16W 1% -55~155°C
01S5101K11-00,IN01S5101K11-00,01S5101K11-00_0402_5K1_1%.btw,10000,RES SMD 0402 5.1K 1/16W 1% -55~155°C
01S5102K11-00,IN01S5102K11-00,01S5102K11-00_0402_51K_1%.btw,10000,RES SMD 0402 51K 1/16W 1% -55~155°C
01S6803K11-00,IN01S6803K11-00,01S6803K11-00_0402_680K_1%.btw,10000,RES SMD 0402 680K 1/16W 1% -55~155°C
01S7502K11-00,IN01S7502K11-00,01S7502K11-00_0402_75K _1%.btw,10000,RES SMD 0402 75K 1/16W 1% -55~155°C
01S9100K11-00,IN01S9100K11-00,01S9100K11-00_0402_910R_1%.btw,10000,SMD RES 0402 910R 1/16W 1% -55~155?
01S9102K11-00,IN01S9102K11-00,01S9102K11-00_0402_91K_1%.btw,10000,SMD RES 0402 91K 1/16W 1% -55~155?
01S0017511-21,IN01S0017511-21,01S0017511-21_2512_0.1R_1%.btw,5000,"SMD RES (Metal Alloy) MA 2512, 0.1R 2W 1% -55~170°C"
01S0057511-21,IN01S0057511-21,01S0057511-21_2512 _0.5R_1%.btw,5000,CHIP RES(Metal film)0.5R 2W 1% -55~170°CTGL2512
01S0759510-03,IN01S0759510-03,01S0759510-03_2512_0.075R_1%.btw,5000,SMD RES 2512 0.075R 2W 1% -55~170? RLP2512
01S1000110-00,IN01S1000110-00,01S1000110-00_1206_100R_1%.btw,5000,RES SMD 1206 100R 1/4W 1% -55~155°C
01S1001110-00,IN01S1001110-00,01S1001110-00_1206_1K_1%.btw,5000,RES SMD 1206 1K 1/4W 1% -55~155°C
01S1001310-00,IN01S1001310-00,01S1001310-00_0603_1K_1%.btw,5000,SMD RES 0603 1K 1/10W 1% -55~155°C
01S1002110-00,IN01S1002110-00,01S1002110-00_1206_10K_1%.btw,5000,RES SMD 1206 10K 1/4W 1% -55~155°C
01S1002310-00,IN01S1002310-00,01S1002310-00_0603_10K_1%.btw,5000,SMD RES 0603 10K 1/10W 1% -55~155°C
01S1003110-00,IN01S1003110-00,01S1003110-00_1206_100K_1%.btw,5000,RES SMD 1206 100K 1/4W 1% -55~155°C
01S1003310-00,IN01S1003310-00,01S1003310-00_0603 _100k _1%.btw,5000,RES SMD 0603 100K 1/10W 1% -55~155°C
01S1004111-00,IN01S1004111-00,01S1004111-00_HV06_1M_1%.btw,5000,RES SMD 1206 1M 1/4W 1% 500V -55~155°C
01S1007121-02,IN01S1007121-02,01S1007121-02_1206_10R_5%.btw,5000,"SMD RES 1206 Anti-Surge, 10R 5% -55~155°C"
